2025-04-16	ODIHAM	d	12	2025-04-16 12:30:00 UTC	SSW
2025-04-16	ODIHAM	d	13	2025-04-16 13:30:00 UTC	SSW
2025-04-16	ODIHAM	d	14	2025-04-16 14:30:00 UTC	SSW
2025-04-16	ODIHAM	d	15	2025-04-16 15:30:00 UTC	S
2025-04-16	ODIHAM	d	16	2025-04-16 16:30:00 UTC	SSW
2025-04-16	ODIHAM	d	17	2025-04-16 17:30:00 UTC	S
2025-04-16	ODIHAM	d	18	2025-04-16 18:30:00 UTC	SSW
2025-04-16	ODIHAM	d	19	2025-04-16 19:30:00 UTC	SSW
2025-04-16	ODIHAM	d	20	2025-04-16 20:30:00 UTC	S
2025-04-16	ODIHAM	d	21	2025-04-16 21:30:00 UTC	S
2025-04-16	ODIHAM	d	22	2025-04-16 22:30:00 UTC	SSE
2025-04-16	ODIHAM	d	23	2025-04-16 23:30:00 UTC	SSW
2025-04-17	ODIHAM	d	0	2025-04-17 00:30:00 UTC	SSW
2025-04-17	ODIHAM	d	1	2025-04-17 01:30:00 UTC	SSW
2025-04-17	ODIHAM	d	2	2025-04-17 02:30:00 UTC	SE
2025-04-17	ODIHAM	d	3	2025-04-17 03:30:00 UTC	WSW
2025-04-17	ODIHAM	d	4	2025-04-17 04:30:00 UTC	N
2025-04-17	ODIHAM	d	5	2025-04-17 05:30:00 UTC	N
2025-04-10	ODIHAM	dp	0	2025-04-10 00:30:00 UTC	2.0
2025-04-10	ODIHAM	dp	1	2025-04-10 01:30:00 UTC	1.8
2025-04-10	ODIHAM	dp	2	2025-04-10 02:30:00 UTC	1.5
2025-04-10	ODIHAM	dp	3	2025-04-10 03:30:00 UTC	1.0
2025-04-10	ODIHAM	dp	4	2025-04-10 04:30:00 UTC	0.0
2025-04-10	ODIHAM	dp	5	2025-04-10 05:30:00 UTC	1.5
2025-04-10	ODIHAM	dp	6	2025-04-10 06:30:00 UTC	2.0
2025-04-10	ODIHAM	dp	7	2025-04-10 07:30:00 UTC	2.8
